Unnamed: 0,tx_dt,new_agmt_cd,new_close,new_close_pl_rate,new_close_pl_rate_ln,new_settle,new_settle_pl_rate,new_settle_pl_rate_ln,new_vol
0,2021-09-01,IF2112,4793.4,0.0172,0.01705375460343893,4789.6,0.0185,0.01833095672786076,23379.0
1,2021-09-02,IF2112,4791.8,-0.0003,-0.0003000450090034531,4790.6,0.0002,0.0001999800026803748,14777.0
2,2021-09-03,IF2112,4777.2,-0.003,-0.003004509019245997,4780.4,-0.0021,-0.002102208091382417,19219.0
3,2021-09-06,IF2112,4855.2,0.0163,0.01616858119555961,4864.0,0.0174,0.01725035344496828,19514.0
4,2021-09-07,IF2112,4927.0,0.0147,0.01459300233081518,4934.4,0.0144,0.01429730472766213,20879.0
5,2021-09-08,IF2112,4899.2,-0.0056,-0.005615738781754949,4901.4,-0.0066,-0.00662187630344831,21224.0
6,2021-09-09,IF2112,4896.4,-0.0005,-0.0005001250416715135,4891.8,-0.0019,-0.001901807289205096,14867.0
7,2021-09-10,IF2112,4959.4,0.0128,0.01271877242919253,4967.2,0.0154,0.01528262356165909,23198.0
8,2021-09-13,IF2112,4927.0,-0.0065,-0.00652121698499426,4922.4,-0.009,-0.009040744641920905,22009.0
9,2021-09-14,IF2112,4856.0,-0.0144,-0.01450468617664253,4858.4,-0.013,-0.0130852395272404,25164.0
10,2021-09-15,IF2112,4811.0,-0.0092,-0.009242581356239083,4798.8,-0.0122,-0.01227503085674672,23682.0
11,2021-09-16,IF2112,4767.0,-0.0091,-0.009141657906823834,4769.4,-0.0061,-0.006118681003549901,22877.0
12,2021-09-17,IF2112,4817.8,0.0106,0.01054421389056636,4817.0,0.0099,0.00985131606342795,22591.0
13,2021-09-22,IF2112,4788.8,-0.006,-0.00601807232109024,4786.4,-0.0063,-0.006319928739875291,20329.0
14,2021-09-23,IF2112,4809.0,0.0042,0.00419120462096075,4804.4,0.0037,0.003693171839573405,15461.0
15,2021-09-24,IF2112,4826.2,0.0035,0.003493889256014898,4830.0,0.0053,0.00528600443313657,17603.0
16,2021-09-27,IF2112,4866.0,0.0082,0.008166562675459954,4854.8,0.0051,0.005087039052177698,23868.0
17,2021-09-28,IF2112,4850.2,-0.0032,-0.003205130947741084,4853.2,-0.0003,-0.0003000450090034531,17873.0
18,2021-09-29,IF2112,4827.0,-0.0047,-0.004711079727417859,4829.8,-0.0048,-0.004811556994400123,22351.0
19,2021-09-30,IF2112,4828.2,0.0002,0.0001999800026803748,4837.4,0.0015,0.001498876124097972,13336.0
20,2021-10-08,IF2112,4906.8,0.0162,0.01607018021107633,4907.2,0.0144,0.01429730472766213,19392.0
21,2021-10-11,IF2112,4908.6,0.0003,0.0002999550090230824,4916.8,0.0019,0.001898197283638388,18125.0
22,2021-10-12,IF2112,4854.8,-0.0109,-0.01095984022128959,4837.6,-0.0161,-0.01623101307771698,22785.0
23,2021-10-13,IF2112,4913.8,0.0121,0.01202738023194199,4915.6,0.0161,0.01597176954288849,21694.0
24,2021-10-14,IF2112,4891.0,-0.0046,-0.004610612555099904,4896.0,-0.0039,-0.003907624829186111,18633.0
25,2021-10-15,IF2112,4920.4,0.006,0.00598207168250158,4922.4,0.0053,0.00528600443313657,21150.0
26,2021-10-18,IF2203,4820.0,-0.0157,-0.01582455031584968,4810.4,-0.018,-0.01816397058699927,7395.0
27,2021-10-19,IF2203,4867.2,0.0097,0.009653257040687141,4871.6,0.0127,0.01262003137719995,5448.0
28,2021-10-20,IF2203,4860.6,-0.0013,-0.001300845732883183,4861.6,-0.002,-0.002002002670234889,4827.0
29,2021-10-21,IF2203,4888.0,0.0056,0.005584378298236774,4871.8,0.002,0.001998002663286734,4985.0
30,2021-10-22,IF2203,4926.2,0.0078,0.007769737272590648,4929.4,0.0118,0.01173092289401547,6465.0
31,2021-10-25,IF2203,4944.0,0.0036,0.003593535511986358,4944.4,0.003,0.002995508981110782,5829.0
32,2021-10-26,IF2203,4922.8,-0.0042,-0.00420884477191699,4920.8,-0.0047,-0.004711079727417859,6093.0
33,2021-10-27,IF2203,4847.8,-0.0152,-0.01531670408269458,4845.6,-0.0152,-0.01531670408269458,5965.0
34,2021-10-28,IF2203,4846.0,-0.0003,-0.0003000450090034531,4837.8,-0.0016,-0.001601281366707685,5407.0
